DEPARTAMENTO,CAPITAL,AREA,TELEVISION,COMPUTADOR,TABLET,INTERNET,TELEFONO,RADIO
AMAZONAS,(Leticia),22,14,3,1,1,0,20
ANTIOQUIA,(Medellin),2.147,2.026,938,196,1.175,986,800
ARAUCA,(Arauca),90,69,14,1,16,8,50
ATLÁNTICO,(Barranquilla),645,603,279,87,358,277,300
BOGOTÁ D.C,(Bogotá),2.813,2.734,1.937,667,2.125,1.884,1.000
BOLÍVAR,(Cartagena),587,503,147,30,180,136,234
BOYACÁ,(Tunja),426,375,137,22,208,113,68
CALDAS,(Manizales),324,309,132,37,148,135,50
CAQUETÁ,(Florencia),159,126,31,3,51,21,50
CASANARE,(Yopal),120,99,36,5,56,27,39
CAUCA,(Popayán),433,355,106,17,131,88,23
CESAR,(Valledupar),293,246,76,21,119,72,89
CHOCÓ,(Quibdó),171,107,25,4,22,17,45
CÓRDOBA,(Monteria),477,400,101,25,100,76,89
CUNDINAMARCA,(Bogotá),888,840,329,50,441,320,99
GUAINÍA,(Inírida),12,5,2,0,1,0,10
GUAVIARE,(San José del Guaviare),37,26,8,2,8,2,20
HUILA,(Neiva),373,331,111,21,147,85,123
LA GUAJIRA,(Riohacha),298,160,41,9,61,24,80
MAGDALENA,(Santa Marta),338,287,90,25,115,79,56
META,(Villavicencion),329,292,123,25,177,121,23
NARIÑO,(Pasto),541,486,136,25,208,107,99
NORTE DE SANTANDER,(Cúcuta),411,389,120,26,176,114,58
PUTUMAYO,(Mocoa),115,82,20,2,18,14,78
QUINDÍO,(Armenia),191,184,85,15,119,91,23
RISARALDA,(Pereira),322,311,143,32,185,160,67
SAN ANDRÉS Y PROVIDENCIA,(San Andrés),21,21,9,2,9,5,17
SANTANDER,(Bucaramanga),671,611,276,70,409,308,90
SUCRE,(Sincelejo),232,199,54,14,74,46,34
TOLIMA,(Ibagué),453,416,167,37,241,152,56
VALLE DEL CAUCA,(Cali),1.542,1.466,773,220,1.068,808,546
VAUPÉS,(Mitú),11,5,2,0,0,0,10
VICHADA,(Puerto Carreño),22,11,3,1,1,1,17



